SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,TotalServices,AvgMonthlySpend,ChargePerService,IsLongTerm,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2 Years,tenure_group_2-4 Years,tenure_group_4-6 Years
1,0.013888888888888888,0.21293532338308457,0.0024059543041772442,1,0.25,0.0076652960773132455,0.1954931226221832,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
0,0.16666666666666666,0.015422885572139305,0.02116893607200554,0,0.125,0.0045915128120476425,0.07901668129938544,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.013888888888888888,0.018905472636815884,0.00015578121393953342,1,0.125,0.000642276178756865,0.08516242317822648,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.8055555555555555,0.4144278606965174,0.4022963304869605,0,0.5,0.036177658087893055,0.15206321334503953,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
0,0.6805555555555555,0.4114427860696518,0.34058389106854375,0,0.5,0.036175875626519416,0.1499561018437226,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0.41666666666666663,0.3686567164179104,0.17445188091391645,0,0.375,0.028949867797991847,0.21685689201053554,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.6527777777777778,0.8069651741293532,0.545851603969536,1,0.625,0.0646530508118491,0.31284752707052976,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
0,0.013888888888888888,0.11890547263681589,0.0013154858066005077,1,0.125,0.004261832588012846,0.2616330114135207,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.0,0.7164179104477612,0.7328236787445188,0,1.0,0.05623415328865386,0.08350404838552339,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1
0,0.2361111111111111,0.4621890547263682,0.12396722824832679,1,0.375,0.03712796502496074,0.2993854258121159,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0
1,0.986111111111111,0.7771144278606964,0.778692591737826,0,0.75,0.06108376601938835,0.2147246958484887,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1
1,0.027777777777777776,0.7686567164179104,0.01879183014078006,0,0.5,0.03699990996128336,0.40210711150131706,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
0,0.375,0.47661691542288565,0.21412993307177478,0,0.625,0.04160603345152702,0.11852502194907816,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
0,0.013888888888888888,0.019402985074626844,0.0001615508885298867,0,0.125,0.0006602839220864968,0.08604038630377525,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.013888888888888888,0.26865671641791045,0.003052157858296792,0,0.125,0.009682163330232002,0.5258999122036875,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.0,0.8124378109452737,0.8346295868912993,0,0.75,0.0649395404407457,0.23253480496676282,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
0,0.06944444444444445,0.5119402985074627,0.034398799907685206,1,0.125,0.03142951469131727,0.9552238805970149,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0.6388888888888888,0.5626865671641791,0.40728132933302563,0,0.25,0.047765475324602354,0.6069651741293532,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,0.4722222222222222,0.8766169154228854,0.4073909531502423,1,0.75,0.06642970763142439,0.2648940173084159,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0
0,0.15277777777777776,0.7920398009950248,0.12538656819755367,1,0.625,0.05973768720549838,0.30406789581504245,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,0.1388888888888889,0.3114427860696517,0.05272328640664667,0,0.25,0.024535277442027346,0.3113842551946151,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.9722222222222222,0.5069651741293533,0.5600680821601662,0,0.625,0.04281615742656667,0.1363769388352356,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1
0,0.2361111111111111,0.02487562189054726,0.04609393030233095,0,0.125,0.010122352611623,0.09569798068481122,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0.875,0.6129353233830845,0.5588102930994692,0,0.875,0.04809999549806418,0.08187006145741876,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
0,0.18055555555555555,0.5766169154228856,0.11108354488806832,0,0.75,0.04388144044796406,0.11363351310673525,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0
0,0.6805555555555555,0.6592039800995024,0.44863835679667663,0,0.375,0.049665836309613146,0.47322212467076386,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
0,0.027777777777777776,0.30845771144278605,0.009023771059312256,0,0.25,0.016675170323238998,0.30787240269242033,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.027777777777777776,0.6208955223880598,0.014464574198015234,1,0.25,0.027996038296467487,0.675446297922154,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0.7222222222222222,0.6119402985074627,0.4845372720978537,0,0.75,0.05070821962878001,0.13144362222500938,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
0,0.9583333333333333,0.4567164179104478,0.4887260558504501,0,0.625,0.03716043613039322,0.10681884694176186,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
1,0.5972222222222222,0.7164179104477612,0.4407973690283868,0,0.5,0.05622808716839152,0.3652326602282705,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
0,0.20833333333333331,0.8044776119402984,0.1624278790676206,1,0.625,0.05760076833038208,0.3113842551946151,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0
1,0.3472222222222222,0.5099502487562189,0.2000750057696746,0,0.625,0.04194095768872925,0.1381328650863331,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
1,0.1111111111111111,0.6208955223880598,0.07090930071543965,1,0.375,0.04407095050871875,0.43942054433713795,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0.8333333333333333,0.56318407960199,0.5120643895684284,0,0.75,0.04600732413298375,0.10686065470964501,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1
1,0.25,0.7681592039800995,0.20006346642049389,1,0.5,0.059826146295538674,0.40175592625109746,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
0,0.875,0.8099502487562189,0.7261020078467574,0,0.625,0.06441669918064769,0.3146034533216272,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1
1,0.9166666666666666,0.8975124378109453,0.8143953381029311,0,0.875,0.06946222696655086,0.2074187884108868,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1
0,0.4722222222222222,0.06666666666666665,0.10102700207708286,0,0.25,0.011790098313703465,0.02341235001463271,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,1.0,0.8880597014925372,0.9040964689591507,0,0.75,0.07087962892536943,0.27066348927630757,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1
0,0.6527777777777778,0.818407960199005,0.5409993076390492,0,0.625,0.06402202947267327,0.31957857769973663,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0
0,0.8333333333333333,0.7129353233830846,0.6268059081467805,0,0.5,0.057748963201717726,0.362774363476734,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,1.0,0.2373134328358209,0.3396261250865451,0,0.375,0.022611969722323065,0.1009657594381036,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0.25,0.3597014925373134,0.10827371336256636,0,0.375,0.02966981065015852,0.208955223880597,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0
0,0.125,0.7577114427860697,0.0967516732056312,1,0.5,0.05513370749422252,0.3943810359964882,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
0,0.041666666666666664,0.5676616915422885,0.025998153704131086,0,0.625,0.03734205708454636,0.17208077260755045,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0
0,0.6527777777777778,0.6034825870646766,0.41905723517193627,0,0.375,0.04816396050301631,0.4240561896400352,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
0,0.4305555555555555,0.6064676616915423,0.28599123009462263,0,0.75,0.04959632642036076,0.12868430954471344,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0
0,0.6944444444444444,0.018905472636815884,0.10525040387722133,0,0.125,0.0065329268055852275,0.08516242317822648,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.1388888888888889,0.6129353233830845,0.10022501730902378,0,0.375,0.05149123213891065,0.432396839332748,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0.013888888888888888,0.30646766169154227,0.0034906531271636275,0,0.25,0.011050751823284011,0.3055311676909569,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0.7222222222222222,0.021393034825870627,0.12368451419339951,0,0.125,0.00820790675839668,0.08955223880597013,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1,0.8888888888888888,0.9288557213930347,0.8170090006923609,0,0.875,0.0720540601689496,0.2212467076382792,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1
0,0.861111111111111,0.05970149253731341,0.16222017078236786,0,0.25,0.009673302377165037,0.01521802750951129,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0.041666666666666664,0.46019900497512434,0.018301407800600047,0,0.5,0.025330892283681985,0.1843722563652327,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,0.7777777777777777,0.917910447761194,0.7062889453034848,0,0.875,0.07097009608868658,0.2164179104477612,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1
0,0.6388888888888888,0.37213930348258706,0.30810639279944607,0,0.25,0.03459376893766448,0.382791922739245,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0.1111111111111111,0.3621890547263681,0.05347911377798293,0,0.375,0.03198175215342598,0.21115013169446883,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.41666666666666663,0.5621890547263682,0.24146088160627743,0,0.625,0.04244289560640109,0.1688615744805385,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0
0,0.625,0.07611940298507458,0.13821832448649896,0,0.25,0.01243578216894134,0.034533216271583234,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
0,0.013888888888888888,0.607960199004975,0.006987075928917609,1,0.25,0.02196344428104085,0.6602282704126426,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0.15277777777777776,0.32139303482587056,0.06306831294714979,0,0.375,0.0273207479216063,0.175153643546971,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
0,0.09722222222222221,0.5661691542288557,0.055169628432956384,1,0.25,0.038125393919385346,0.611062335381914,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0.5833333333333333,0.8512437810945274,0.4971959381490884,0,0.75,0.06587679213689795,0.25210084033613445,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
0,0.6805555555555555,0.018905472636815884,0.11014885760443112,0,0.125,0.007407425192832918,0.08516242317822648,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0.125,0.8064676616915423,0.10384837295176552,0,0.625,0.05956361235331194,0.3125548726953469,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
0,0.4861111111111111,0.43681592039800987,0.2534791137779829,0,0.375,0.03771321668317377,0.2769973661106233,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
0,0.6666666666666666,0.023880597014925342,0.11980152319409186,0,0.125,0.008923265575626092,0.09394205443371378,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.6388888888888888,0.01691542288557213,0.1048119086083545,0,0.125,0.0075936482474698195,0.0816505706760316,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
0,0.40277777777777773,0.154228855721393,0.11429148396030464,0,0.125,0.01761757555748972,0.3239683933274803,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,0.41666666666666663,0.6348258706467661,0.29441495499653814,0,0.375,0.05310580323732755,0.45171202809482003,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0.013888888888888888,0.5616915422885572,0.006450496192014771,0,0.25,0.0202887241513851,0.6057945566286217,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0.9166666666666666,0.654228855721393,0.6572178629125317,0,0.875,0.05481843759980972,0.10008779631255488,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1
0,0.9027777777777777,0.9233830845771144,0.8179321486268175,0,0.875,0.07094941734036547,0.2188323090430202,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1
0,1.0,0.8223880597014926,0.8585564274174937,0,0.75,0.06698551610069044,0.23755173711275557,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1
0,0.16666666666666666,0.6039800995024875,0.10484075698130627,1,0.375,0.044768173391481425,0.42449517120280955,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0.986111111111111,0.4835820895522387,0.545799676898223,0,0.625,0.04089258381103875,0.12262218320163887,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1
0,0.06944444444444445,0.027860696517412936,0.010968151396261252,1,0.125,0.0070530328041057645,0.1009657594381036,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.7222222222222222,0.027363184079601977,0.12559427648280638,0,0.125,0.008432833665646042,0.10008779631255488,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0.3472222222222222,0.7985074626865671,0.2879875375028848,1,0.625,0.063047418082083,0.30787240269242033,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0
0,0.013888888888888888,0.019402985074626844,0.0001615508885298867,0,0.125,0.0006602839220864968,0.08604038630377525,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.013888888888888888,0.011940298507462671,7.500576967459007e-05,0,0.125,0.00039016777214202075,0.07287093942054435,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.5277777777777778,0.763681592039801,0.41389337641357027,0,0.625,0.05997871392391037,0.2873865964296166,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
1,0.9166666666666666,0.2716417910447761,0.3471555504269559,0,0.375,0.025930792031618372,0.13125548726953468,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,0.9444444444444444,0.9129353233830845,0.8761885529656128,1,0.875,0.07284732434947029,0.21422300263388938,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1
0,0.06944444444444445,0.06019900497512437,0.009393030233094853,0,0.0,0.005414328161109277,0.5847234416154522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.0,0.854726368159204,0.840555042695592,0,0.75,0.06544622406813014,0.253856766587232,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1
0,0.4444444444444444,0.11840796019900496,0.10487537502884837,0,0.125,0.013633498768106649,0.2607550482879719,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0.5972222222222222,0.7572139303482587,0.4503231017770598,0,0.5,0.05757948645190161,0.3940298507462686,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
0,1.0,0.011442786069651711,0.15514078006000462,0,0.125,0.00683669320273471,0.07199297629499557,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0.7638888888888888,0.7810945273631841,0.6023655665820448,1,0.625,0.06077141742377795,0.2976294995610185,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
0,0.7222222222222222,0.3950248756218906,0.34888645280406183,0,0.5,0.0347316138392339,0.1383669885864794,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0.5972222222222222,0.7303482587064677,0.45410800830833137,0,0.5,0.058116444616639715,0.37506584723441627,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
1,0.5138888888888888,0.5796019900497512,0.3287964458804523,1,0.25,0.04775242828100295,0.6268656716417911,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0,0.8888888888888888,0.36169154228855727,0.3928802215555043,0,0.5,0.03132331517937329,0.11483757682177348,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1
0,0.041666666666666664,0.7124378109452736,0.026494345718901455,0,0.5,0.03811639004772053,0.3624231782265145,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0.5,0.127363184079602,0.12780406185091162,0,0.125,0.015312746643218744,0.276558384547849,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.1388888888888889,0.8159203980099502,0.12068428340641589,1,0.625,0.06310131538379687,0.3181153058238221,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
0,0.5694444444444444,0.023880597014925342,0.09420147703669514,0,0.125,0.007708171656669511,0.09394205443371378,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,0.375,0.6661691542288557,0.24611123932610202,0,0.5,0.04873581354268051,0.3297629499561018,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
0,0.7777777777777777,0.8114427860696517,0.6342776367412878,0,0.625,0.06308396821159415,0.31548141644717587,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1
0,0.08333333333333333,0.024378109452736302,0.010841218555273483,0,0.125,0.004987287390720868,0.0948200175592625,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.041666666666666664,0.5587064676616916,0.024319178398338335,1,0.25,0.034721930430084945,0.6022827041264267,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0.09722222222222221,0.32288557213930347,0.03825871220863144,0,0.25,0.024930219994597682,0.32484635645302906,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.05555555555555555,0.025870646766169153,0.005088852988691437,0,0.125,0.0024466520603859667,0.09745390693590872,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.4583333333333333,0.7034825870646766,0.34720170782367876,0,0.5,0.05752767807804415,0.3561018437225636,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0
1,0.375,0.5950248756218905,0.24425340410800833,1,0.375,0.04832163544609897,0.4165935030728709,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
0,1.0,0.0527363184079602,0.1967632125548119,0,0.25,0.010395812665199462,0.0070237050043898686,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0.013888888888888888,0.014925373134328346,0.0001096238172167089,0,0.125,0.0004982142321198115,0.07813871817383672,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.986111111111111,0.3800995024875622,0.4577140549273021,0,0.5,0.03325579999399743,0.1278314310798947,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1
0,0.18055555555555555,0.6736318407960199,0.13810870066928227,0,0.375,0.05593119327024909,0.4859525899912204,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0.3472222222222222,0.4014925373134328,0.1712266328179091,1,0.625,0.0350149025619478,0.0743342112964589,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0
0,0.9305555555555555,0.32139303482587056,0.3740249249942303,0,0.25,0.027918710928052006,0.3230904302019315,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0.013888888888888888,0.17114427860696518,0.0019213016385875841,1,0.125,0.00615264563762418,0.353819139596137,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0.027777777777777776,0.25970149253731345,0.007206323563351027,1,0.125,0.012893544224016326,0.5100965759438104,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.5972222222222222,0.07412935323383085,0.13494114931917842,0,0.25,0.012836792548068396,0.03219198127011996,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
